group_id,group_name,item_no,food_type_th,reference_serving,serving_value,unit
6,ผลิตภัณฑ์ขนมอบ นึ่ง ทอด,2,ขนมปังกรอบ แครกเกอร์ เวเฟอร์ บิสกิต วาฟเฟิลกรอบ,30 กรัม,30,กรัม
6,ผลิตภัณฑ์ขนมอบ นึ่ง ทอด,3,กรวยไอศกรีม,15 กรัม,15,กรัม
6,ผลิตภัณฑ์ขนมอบ นึ่ง ทอด,4,เค้กชนิดหนัก เช่น ชีสเค้ก เค้กผลไม้ ซึ่งมีส่วนผสมของผลไม้ นัต ตั้งแต่ 35% ขึ้นไป,80 กรัม,80,กรัม
6,ผลิตภัณฑ์ขนมอบ นึ่ง ทอด,5,เค้กกาแฟ คัพเค้ก มัฟฟิน เอแคลร์ ครีมพัฟ ชิฟฟอน สปันจ์เค้ก ที่มีหรือ ไม่มีไอซิ่งหรือไส้,55 กรัม,55,กรัม
6,ผลิตภัณฑ์ขนมอบ นึ่ง ทอด,6.1,โดนัทมีไส้หรือเคลือบ ,55 กรัม,55,กรัม
6,ผลิตภัณฑ์ขนมอบ นึ่ง ทอด,6.2,โดนัทไม่มีไส้หรือไม่เคลือบ,30 กรัม,30,กรัม
6,ผลิตภัณฑ์ขนมอบ นึ่ง ทอด,7,บราวนี,50 กรัม,50,กรัม
6,ผลิตภัณฑ์ขนมอบ นึ่ง ทอด,8,พาย เพสตรี้ ทั้งชนิดที่มีและไม่มีไส้,55 กรัม,55,กรัม
6,ผลิตภัณฑ์ขนมอบ นึ่ง ทอด,9,วาฟเฟิล,85 กรัม,85,กรัม
6,ผลิตภัณฑ์ขนมอบ นึ่ง ทอด,10,แพนเค้ก เครปเค้ก,110 กรัม,110,กรัม
6,ผลิตภัณฑ์ขนมอบ นึ่ง ทอด,11,คุกกี้,30 กรัม,30,กรัม
6,ผลิตภัณฑ์ขนมอบ นึ่ง ทอด,12,ขนมปุยฝ้าย สาลี่ ขนมไข่ ,30 กรัม,30,กรัม
6,ผลิตภัณฑ์ขนมอบ นึ่ง ทอด,13,ขนมเปี๊ยะ,50 กรัม,50,กรัม
6,ผลิตภัณฑ์ขนมอบ นึ่ง ทอด,14,ซาลาเปา หมั่นโถว,60 กรัม,60,กรัม
7,ธัญพืช ถั่ว เมล็ด ฯลฯ,1,รำข้าว,15 กรัม,15,กรัม
