group_id,group_name,item_no,food_type_th,reference_serving,serving_value,unit
7,ธัญพืช ถั่ว เมล็ด ฯลฯ,9,งาคั่ว (9 กรัม =1 ช้อนโต๊ะ),9 กรัม,9,กรัม
7,ธัญพืช ถั่ว เมล็ด ฯลฯ,10,เต้าหู้,50 กรัม,50,กรัม
7,ธัญพืช ถั่ว เมล็ด ฯลฯ,11,ถั่วหมัก เช่น เทมเป้ ถั่วเน่าญี่ปุ่น,50 กรัม,50,กรัม
8,อาหารสำเร็จรูปพร้อมบริโภค,1,ซุปพร้อมบริโภค และแกงต่าง ๆ,200 กรัม,200,กรัม
8,อาหารสำเร็จรูปพร้อมบริโภค,2,พิซซ่า เบอร์เกอร์ แซนด์วิช,120 กรัม,120,กรัม
9,เนื้อสัตว์ ปลา สัตว์น้ำ ไข่ ฯลฯ,1,อาหารที่บรรจุกระป๋อง ขวด ซองอลูมิเนียมฟอยล์ หรือถุง ที่ปิดสนิท (เนื้อสัตว์ ปลา และสัตว์น้ำอื่น ในน้ำ น้ำมัน น้ำเกลือ (ไม่รวมของเหลว) ),55 กรัม,55,กรัม
9,เนื้อสัตว์ ปลา สัตว์น้ำ ไข่ ฯลฯ,1.1,อาหารที่บรรจุกระป๋อง ขวด ซองอลูมิเนียมฟอยล์ หรือถุง ที่ปิดสนิท (เนื้อสัตว์ ปลา และสัตว์น้ำอื่น ในซอส เช่น ซาร์ดีนในซอสมะเขือเทศ ),85 กรัม,85,กรัม
9,เนื้อสัตว์ ปลา สัตว์น้ำ ไข่ ฯลฯ,1.2,อาหารที่บรรจุกระป๋อง ขวด ซองอลูมิเนียมฟอยล์ หรือถุง ที่ปิดสนิท (เนื้อสัตว์ ปลา สัตว์น้ำอื่น และหนังสัตว์ ทอดแล้วบรรจุแบบแห้ง เช่น ปลาเกล็ดขาวทอดกรอบ แมลงทอด หนังไก่ทอด แคบหมู),20 กรัม,20,กรัม
9,เนื้อสัตว์ ปลา สัตว์น้ำ ไข่ ฯลฯ,1.3,อาหารที่บรรจุกระป๋อง ขวด ซองอลูมิเนียมฟอยล์ หรือถุง ที่ปิดสนิท (เนื้อสัตว์ ปลา และสัตว์น้ำอื่น ทอดแล้วบรรจุกับของเหลว เช่น หอยลายผัดพริก ปลาดุกสามรส),85 กรัม,85,กรัม
9,เนื้อสัตว์ ปลา สัตว์น้ำ ไข่ ฯลฯ,1.4,อาหารที่บรรจุกระป๋อง ขวด ซองอลูมิเนียมฟอยล์ หรือถุง ที่ปิดสนิท (ปลาร้า ปลาแอนโชวี),15 กรัม,15,กรัม
9,เนื้อสัตว์ ปลา สัตว์น้ำ ไข่ ฯลฯ,2,เบคอน,15 กรัม,15,กรัม
9,เนื้อสัตว์ ปลา สัตว์น้ำ ไข่ ฯลฯ,3,แฮมชนิดต่าง ๆ,35 กรัม,35,กรัม
9,เนื้อสัตว์ ปลา สัตว์น้ำ ไข่ ฯลฯ,4,ไส้กรอกที่มีอัตราส่วนความชื้น:โปรตีน น้อยกว่า 2:1 เช่น กุนเชียง เปปเปอโรนี รวมทั้งเนื้อสวรรค์ หมูสวรรค์,40 กรัม,40,กรัม
9,เนื้อสัตว์ ปลา สัตว์น้ำ ไข่ ฯลฯ,5,ไส้กรอกชนิดอื่น ๆ เช่น ไส้กรอกอีสาน ไส้อั่ว ลูกชิ้น แหนม หมูยอ และโบโลนา,55 กรัม,55,กรัม
9,เนื้อสัตว์ ปลา สัตว์น้ำ ไข่ ฯลฯ,6,เนื้อสัตว์และสัตว์น้ำแห้ง เช่น หมูหยอง เนื้อทุบ หมูแผ่น,20 กรัม,20,กรัม
9,เนื้อสัตว์ ปลา สัตว์น้ำ ไข่ ฯลฯ,7,เนื้อสัตว์และสัตว์น้ำสุก ปรุงรส ดอง รมควัน,55 กรัม,55,กรัม
9,เนื้อสัตว์ ปลา สัตว์น้ำ ไข่ ฯลฯ,10,เต้าหู้ไข่,50 กรัม,50,กรัม
10,ผัก,1,ผักสุก,80 กรัม,80,กรัม
10,ผัก,2.1,อาหารที่บรรจุกระป๋อง ขวดแก้วที่ปิดสนิท ซองอลูมิเนียมฟอยล์ (ผัก (ไม่รวมของเหลว) เช่น ถั่วฝักยาวในน้ำเกลือ ข้าวโพดอ่อนในน้ำเกลือ เห็ดในน้ำเกลือ),80 กรัม,80,กรัม
